title,url
2013 Audited Results,https://av.sc.com/ke/content/docs/2013-audited-results.pdf
Q3 2013 un-audited Financial Statements,https://av.sc.com/ke/content/docs/q3-2013-un-audited-results.pdf
H1 2013 un-audited Results,https://av.sc.com/ke/content/docs/2013-h1-un-audited-results.pdf
Q1 2013 un-audited Results,https://av.sc.com/ke/content/docs/2013-q1-un-audited-results.pdf
Annual Report 2012,https://av.sc.com/ke/content/docs/annual-report-2012-final.pdf
2011 Financial Highlights,https://av.sc.com/ke/content/docs/2011-financial-highlights.pdf
CEO – 2011 Financial Result Announcement,https://av.sc.com/ke/content/docs/ceo-2011-financial-result-announcement.pdf
https://av.sc.com/ke/content/docs/notice-of-annual-general-meeting-2011.pdf,https://av.sc.com/ke/content/docs/notice-of-annual-general-meeting-2011.pdf
Statement of Cash flows December 2010,https://av.sc.com/ke/content/docs/cashflow-statement-2009.pdf
Notice of Annual General Meeting 2010,https://av.sc.com/ke/content/docs/stanchart-36x6.pdf
Cashflow Statement 2009,https://av.sc.com/ke/content/docs/cashflow-statement-2009.pdf
Approach to Protection of Minority Shareholders,https://av.sc.com/ke/content/docs/Statement-on-Protection-of-Minority-Shareholders.pdf
Statement on Information Technology Policies,https://av.sc.com/ke/content/docs/Statement-on-Information-Technology-Policies.pdf
Statement on the Risk Management Approach,https://av.sc.com/ke/content/docs/ke-statement-on-risk-management-approach.pdf
Defence Sector Position Statement,https://av.sc.com/ke/content/docs/Defence-Sector-Position-Statement.pdf
Gambling Sector Position Statement,https://av.sc.com/ke/content/docs/Gambling-Sector-Position-Statement.pdf
