title,year,report_type,url,filename,source_page
"BK Group Plc Announces Unaudited , Q4 & FY Results 2020",2020,press-release,https://bk.rw/uploads/BK_Group_Plc_Announces_Q4_FY_2020_Audited_Results_ed4fb2ca5a.pdf,BK_Group_Plc_Announces_Q4_FY_2020_Audited_Results_ed4fb2ca5a.pdf,https://bk.rw/en/about/document-center
"BK Group Plc Announces Unaudited, Q3 & 9M Results 2020",2020,press-release,https://bk.rw/uploads/BK_Group_Plc_Announces_Unaudited_IFRS_Based_Q3_9_M2020_Results_a9f316fc2a.pdf,BK_Group_Plc_Announces_Unaudited_IFRS_Based_Q3_9_M2020_Results_a9f316fc2a.pdf,https://bk.rw/en/about/document-center
"BK Group Plc Annouces Reviewed, Q2 and 1H Results 2020",2020,press-release,https://bk.rw/uploads/BK_Group_Plc_Q2_and_1_H_2020_Reviewed_Results_968b1c6fdf.pdf,BK_Group_Plc_Q2_and_1_H_2020_Reviewed_Results_968b1c6fdf.pdf,https://bk.rw/en/about/document-center
"BK Group Plc Annouces Unaudited, Q1 Results 2020",2020,press-release,https://bk.rw/uploads/BK_Group_Plc_Announces_Unaudited_Results_Q1_2020_1_a47a87add3.pdf,BK_Group_Plc_Announces_Unaudited_Results_Q1_2020_1_a47a87add3.pdf,https://bk.rw/en/about/document-center
"BK Group Plc Announces Audited, Q4 & Full Year 2019",2019,press-release,https://bk.rw/uploads/BK_Group_Plc_Announces_Q4_and_FY_2019_Audited_Results_229c0519b5.pdf,BK_Group_Plc_Announces_Q4_and_FY_2019_Audited_Results_229c0519b5.pdf,https://bk.rw/en/about/document-center
BK Group Plc Announces 4Q and FY Audited Result 2018,2018,press-release,https://bk.rw/uploads/BK_Group_Plc_Announces_4_Q_and_FY_2018_Audited_Results_aa94fd1504.pdf,BK_Group_Plc_Announces_4_Q_and_FY_2018_Audited_Results_aa94fd1504.pdf,https://bk.rw/en/about/document-center
BK Group Plc Announces Q3 and 9M Reviewed Results 2018,2018,press-release,https://bk.rw/uploads/BK_Group_Plc_Annouces_3_Q_and_9_M_Reviewed_Results_cd0480b330.pdf,BK_Group_Plc_Annouces_3_Q_and_9_M_Reviewed_Results_cd0480b330.pdf,https://bk.rw/en/about/document-center
BK Announces Reviewed Q3 2017 and 9M 2017,2017,press-release,https://bk.rw/uploads/Bankof_Kigali_Announces_Reviewed_Q32017and_9_M2017_Results_e377ba5e31.pdf,Bankof_Kigali_Announces_Reviewed_Q32017and_9_M2017_Results_e377ba5e31.pdf,https://bk.rw/en/about/document-center
BK Announces Reviewed Q2 2017 and 1H 2017,2017,press-release,https://bk.rw/uploads/Bank_of_Kigali_Announces_Reviewed_Q1_2017_Results_2_fe70e0d7f3.pdf,Bank_of_Kigali_Announces_Reviewed_Q1_2017_Results_2_fe70e0d7f3.pdf,https://bk.rw/en/about/document-center
BK Announces Reviewed Q1 2017,2017,press-release,https://bk.rw/uploads/Bank_of_Kigali_Announces_Reviewed_Q1_2017_Results_1_1278a455d8.pdf,Bank_of_Kigali_Announces_Reviewed_Q1_2017_Results_1_1278a455d8.pdf,https://bk.rw/en/about/document-center
