sector,issuer_name,ticker,isin,official_site_url,indexed_report_records,annual_records,semiannual_records,quarterly_records,coverage_status
INSURANCE,Britam Holdings Ltd Ord 0.10,BRIT,KE2000002192,https://ke.britam.com/,15,15,0,0,indexed first-party records
INSURANCE,CIC Insurance Group Ltd Ord 1.00,CIC,KE2000002317,https://cic.co.ke/,35,21,3,0,indexed first-party records
INVESTMENT,Olympia Capital Holdings ltd Ord 5.00,OCH,KE0000000166,https://ochl.co.ke/,9,5,3,0,indexed first-party records
INVESTMENT,Centum Investment Co Ltd Ord 0.50,CTUM,KE0000000265,https://centum.co.ke/,64,38,22,2,indexed first-party records
INVESTMENT,Trans-Century Ltd,TCL,KE2000002184,http://transcentury.co.ke/,1,1,0,0,indexed first-party records
INVESTMENT,Home Afrika Ltd Ord 1.00,HAFR,KE2000007258,https://www.homeafrika.com/,19,10,0,0,indexed first-party records
INVESTMENT,Kurwitu Ventures,KURV,KE4000001216,,1,0,0,0,indexed first-party records
INVESTMENT SERVICES,Nairobi Securities Exchange Ltd Ord 4.00,NSE,KE3000009674,,7,0,0,0,indexed first-party records
MANUFACTURING AND ALLIED,B.O.C Kenya Ltd Ord 5.00,BOC,KE0000000042,,13,13,0,0,indexed first-party records
MANUFACTURING AND ALLIED,British American Tobacco Kenya Ltd Ord 10.00,BAT,KE0000000075,https://www.batkenya.com/,31,22,9,0,indexed first-party records
MANUFACTURING AND ALLIED,Carbacid Investments Ltd Ord 5.00,CARB,KE0000000117,https://carbacid.com/,1,1,0,0,indexed first-party records
MANUFACTURING AND ALLIED,East African Breweries Ltd Ord 2.00,EABL,KE0000000216,https://www.eabl.com/,68,30,36,0,indexed first-party records
MANUFACTURING AND ALLIED,Mumias Sugar Co. Ltd Ord 2.00,MSC,KE0000000372,,5,4,1,0,indexed first-party records
MANUFACTURING AND ALLIED,Unga Group Ltd Ord 5.00,UNGA,KE0000000497,https://unga-group.com/,26,12,8,0,indexed first-party records
MANUFACTURING AND ALLIED,Eveready East Africa Ltd Ord.1.00,EVRD,KE0000000588,https://eveready.co.ke/,3,1,0,1,indexed first-party records
MANUFACTURING AND ALLIED,AFRICA MEGA AGRICORP PLC 5.00,AMAC,KE0000000331,,2,2,0,0,indexed first-party records
MANUFACTURING AND ALLIED,Flame Tree Group Holdings Ltd Ord 0.825,FTGH,KE4000001323,https://flametreebrands.com/,11,9,1,0,indexed first-party records
MANUFACTURING AND ALLIED,Shri Krishana Overseas (SKL),SKL.O0000,KE9900001216,,1,0,0,0,indexed first-party records
TELECOMMUNICATION AND TECHNOLOGY,Safaricom PLC Ord 0.05,SCOM,KE1000001402,https://www.safaricom.co.ke/business,140,2,50,2,indexed first-party records
REAL ESTATE INVESTMENT TRUST,Laptrust Imara I-REIT,LAPR,KE9100008870,https://laptrustimaraireit.co.ke/,6,5,1,0,indexed first-party records
REAL ESTATE INVESTMENT TRUST,TRIFIC Green USD I-REIT,TRFC,KE9930007092,https://trific.co.ke/i-reit/,0,0,0,0,not yet indexed; archive search required
EXCHANGE TRADED FUND,New Gold Issuer (RP) Ltd,GLD,ZAE000060067,,6,0,0,1,indexed first-party records
EXCHANGE TRADED FUND,Satrix MSCI World Feeder ETF,SMWF.E0000,ZAE000246104,,9,0,0,0,indexed first-party records
