title,year,category,url,filename
HFC Q3 2019,2019,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2019/HFC-Q3-2019.pdf,HFC-Q3-2019.pdf
Q1 Financials for 2019,2019,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2019/Q1-financials-for-2019.pdf,Q1-financials-for-2019.pdf
Q1 March 2018,2018,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2018/Q1-March-2018.pdf,Q1-March-2018.pdf
Q2 2018,2018,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2018/Q2-2018.pdf,Q2-2018.pdf
Q3 Financials 2018,2018,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2018/Q3-Financials%202018.pdf,Q3-Financials 2018.pdf
Q4 2018,2018,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2018/Q4-2018.pdf,Q4-2018.pdf
Q1 Financials 2017,2017,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2017/Q1-Financials%202017.pdf,Q1-Financials 2017.pdf
Q3 Sep 2017,2017,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2017/Q3-SEP-2017.pdf,Q3-SEP-2017.pdf
Q4 Dec 2017,2017,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2017/Q4-Dec-2017.pdf,Q4-Dec-2017.pdf
HF Group Q3 2016,2016,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2016/hf-group-q3-2016.pdf,hf-group-q3-2016.pdf
Q2 June 2016,2016,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2016/Q2%20June-2016.pdf,Q2 June-2016.pdf
Q1 April 2015,2015,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2015/Q1%20April-2015.pdf,Q1 April-2015.pdf
Q1 2015 Financials,2015,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2015/Q1-2015-Financials.pdf,Q1-2015-Financials.pdf
Q2 June 2015 Financials,2015,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2015/Q2%20June-2015-Financials.pdf,Q2 June-2015-Financials.pdf
Q3 Sept 2015,2015,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2015/Q3%20Sept-2015.pdf,Q3 Sept-2015.pdf
Q4 Dec 2015,2015,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2015/Q4%20Dec-2015.pdf,Q4 Dec-2015.pdf
Q1 Mar 2014 Quarterly Accounts,2014,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2014/Q1-Mar2014-quaterly-accounts-published.pdf,Q1-Mar2014-quaterly-accounts-published.pdf
Q2 June 2014,2014,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2014/Q2%20June-2014.pdf,Q2 June-2014.pdf
Q3 Sept 2014,2014,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2014/Q3%20Sept-2014.pdf,Q3 Sept-2014.pdf
Q4 Dec 2014,2014,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2014/Q4%20Dec-2014.pdf,Q4 Dec-2014.pdf
Q1 March 2013,2013,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2013/Q1%20March-2013.pdf,Q1 March-2013.pdf
Q2 June 2013,2013,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2013/Q2%20June-2013.pdf,Q2 June-2013.pdf
Q3 Sept 2013,2013,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2013/Q3%20Sept-2013.pdf,Q3 Sept-2013.pdf
Q4 Dec 2013,2013,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2013/Q4%20dec-2013.pdf,Q4 dec-2013.pdf
Q1 2012 Financial Statements,2012,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2012/2012-Quarter1-Financial-statemens.pdf,2012-Quarter1-Financial-statemens.pdf
Q2 June 2012,2012,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2012/Q2%20June-2012.pdf,Q2 June-2012.pdf
Q3 Sept 2012,2012,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2012/Q3%20Sept-2012.pdf,Q3 Sept-2012.pdf
Q4 Dec 2012,2012,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2012/Q4%20Dec-2012.pdf,Q4 Dec-2012.pdf
Q1 Mar 2011,2011,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2011/Q1%20Mar-2011.pdf,Q1 Mar-2011.pdf
Q3 Sept 2011,2011,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2011/Q3%20Sept-2011.pdf,Q3 Sept-2011.pdf
Q4 Dec 2011,2011,financials,https://hfcb.co.ke/api/investor-relations/file?path=financials/2011/Q4%20Dec-2011.pdf,Q4 Dec-2011.pdf
HFCB GROUP PLC ANNUAL REPORT 2025,2025,annual-reports,https://hfcb.co.ke/api/investor-relations/file?path=annual-reports/2025/HFCB%20GROUP%20PLC%20ANNUAL%20REPORT%202025.pdf,HFCB GROUP PLC ANNUAL REPORT 2025.pdf
