title,page_url,download_url,status
KenGen Integrated Annual Report & Financial Statement 2025,https://www.kengen.co.ke/download/kengen-integrated-annual-report-financial-statement-2025/,https://www.kengen.co.ke/download/kengen-integrated-annual-report-financial-statement-2025/?wpdmdl=4037&refresh=6a8fefc5de69a1787817925,200
KenGen Integrated Annual Report & Financial Statement 2024,https://www.kengen.co.ke/download/kengen-integrated-annual-report-financial-statement-2024/,https://www.kengen.co.ke/download/kengen-integrated-annual-report-financial-statement-2024/?wpdmdl=4040&refresh=6a8fefc8048791787817928,200
2023 Integrated Annual Report & Financial Statement,https://www.kengen.co.ke/download/2023-integrated-annual-report-financial-statement/,https://www.kengen.co.ke/download/2023-integrated-annual-report-financial-statement/?wpdmdl=4044&refresh=6a8fefc9cbd2f1787817929,200
Integrated Annual Report & Financial Statements,https://www.kengen.co.ke/download/integrated-annual-report-financial-statements-4/,https://www.kengen.co.ke/download/integrated-annual-report-financial-statements-4/?wpdmdl=4057&refresh=6a8fefcbd82581787817931,200
