title,publication_date,url
Financial Statements as at 30th June 2018,"June 29, 2018",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Financial-Statements-as-at-30th-June-2018.pdf
Financial Statements as at 31st March 2018,"March 30, 2018",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Financial-Statementes-as-at-31st-March-2018.pdf
Financial Statements for the Period ended 31st December 2017,"December 30, 2017",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Audited-Financial-Statements-for-the-period-ended-31st-December-2017.pdf
Financial Statements as at 30th September 2017,"September 29, 2017",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Financial-Statements-as-at-30th-September-2017.pdf
Financial Statements as at 30th June 2017,"June 29, 2017",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Financial-Statements-as-at-30th-June-2017.pdf
Financial Statements as at 31st March 2017,"March 30, 2017",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Financial-Statementes-as-at-31st-March-2017.pdf
Financial Statements for the Period Ended 31st December 2016,"December 30, 2016",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Audited-Financial-Statements-for-the-period-ended-31st-December-2016.pdf
Financial Statements as at 30th September 2016,"September 29, 2016",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Financial-Statements-as-at-30th-September-2016.pdf
Financial Statements as at 30th June 2016,"June 29, 2016",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Financial-Statements-as-at-30th-June-2016.pdf
Financial Statements as at 31st March 2016,"March 30, 2016",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Financial-Statements-as-at-31st-March-2016.pdf
Financial Statements for the Period Ended 31st December 2015,"December 30, 2015",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Audited-Financial-Statements-for-the-period-ended-31st-December-2015.pdf
Financial Statements for the period ended 31st December 2014,"December 30, 2014",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Audited-Financial-Statements-for-the-period-ended-31st-December-2014.pdf
Financial Statements for the Period Ended 31st December 2013,"December 30, 2013",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Audited-Financial-Statements-for-the-period-ended-31st-December-2013.pdf
Financial Statements for the period ended 31st December 2012,"December 30, 2012",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Audited-Financial-Statements-for-the-period-ended-31st-December-2012.pdf
Financial Statements for the Period Ended 31st December 2011,"December 30, 2011",https://familybank.co.ke/family-bank/wp-content/uploads/2019/08/Family-Bank-Audited-Financial-Statements-for-the-period-ended-31st-December-2011.pdf
