record_id,issuer,ticker,report_year_label,local_path,local_bytes,sha256,http_evidence,download_url
NSE-01515,Kenya Orchards Limited,ORCH,2007,kenya_orchards/2007.pdf,5962394,e5b57ffaede65e851522aa8bcee5663e0214acf2c73e4d80570d980e6ee80e59,HTTP 200 application/pdf (bounded fetch),https://www.cmarcp.or.ke/joomlatools-files/docman-files/NSE%20Listed%20companies%20Annual%20Reports/MANUFACTURING%20AND%20ALLIED/Kenya%20Orchards%20Ltd/2007.pdf
NSE-01516,Kenya Orchards Limited,ORCH,2020,kenya_orchards/2020.pdf,1495598,ca65dd2e93764a813a27f66224775aec1cd6d8322d4c63ffd6c04423b6bcf959,HTTP 200 application/pdf (bounded fetch),https://annualreport.cma.or.ke/media/MANUFACTURING%20AND%20ALLIED/Kenya%20Orchards/documents/2020.PDF
