issuer,ticker,title,url,source_page,source_tier,report_year_label,notes
Africa Mega Agricorp PLC,AMAC,Kenya Orchards Limited Annual report and financial statements for the year ended 31 December 2007,https://www.cmarcp.or.ke/joomlatools-files/docman-files/NSE%20Listed%20companies%20Annual%20Reports/MANUFACTURING%20AND%20ALLIED/Kenya%20Orchards%20Ltd/2007.pdf,https://amacplc.com/,CMA/regulator fallback; predecessor-name report,2007,Indexed under current AMAC identity only as a predecessor-name report; AMAC official site states it was formerly Kenya Orchards Ltd.
Africa Mega Agricorp PLC,AMAC,Kenya Orchards Limited Annual report and financial statements for the year ended 31 December 2020,https://annualreport.cma.or.ke/media/MANUFACTURING%20AND%20ALLIED/Kenya%20Orchards/documents/2020.PDF,https://amacplc.com/,CMA/regulator fallback; predecessor-name report,2020,Indexed under current AMAC identity only as a predecessor-name report; AMAC official site states it was formerly Kenya Orchards Ltd.
